Timestamp,Symbol,Signal,Regime,Strategy,Entry_Price,SL,TP,Position_Size_USDT,Status,Exit_Price,Exit_Time,PnL_Percent,PnL_USDT,Score,ATR,Reasons,Timeframe
2025-12-24T19:14:17.829Z,MATIC/USDT,SHORT,TRENDING,MOMENTUM,0.38,0.38,0.38,100.00,TP_HIT,0.38,2025-12-24T19:16:09.612Z,0.00,0.00,60,0.00,"✓ Bullish EMA alignment | ✓ RSI optimal (41.7) | ✓ Strong trend (ADX 38.5) | ✓ MACD bearish crossover | ✓ RSI optimal (41.7) | ✓ Strong trend (ADX 38.5) | ✓ Selling pressure (DMI)",15m
2025-12-24T19:14:19.486Z,LTC/USDT,SHORT,NEUTRAL,MOMENTUM,75.51,75.96,74.60,100.00,SL_HIT,75.96,2025-12-24T22:36:41.904Z,-0.60,-0.60,70,0.30,"✓ RSI optimal (41.2) | ✓ Bearish EMA alignment | ✓ MACD bearish crossover | ✓ RSI optimal (41.2) | ✓ Selling pressure (DMI) | ✓ OBV falling",15m
2025-12-24T19:21:10.996Z,BNB/USDT,LONG,NEUTRAL,MOMENTUM,847.19,843.94,853.68,100.00,SL_HIT,843.94,2025-12-25T04:36:19.450Z,-0.38,-0.38,60,2.16,"✓ MACD cruce alcista | ✓ RSI óptimo (63.8) | ✓ Presión compradora | ✓ OBV creciente | ✓ Orderbook comprador (Comprador fuerte (+77.4%))",15m
2025-12-24T20:51:14.464Z,BNB/USDT,LONG,NEUTRAL,MOMENTUM,849.23,846.59,854.51,100.00,SL_HIT,846.59,2025-12-25T00:00:23.783Z,-0.31,-0.31,60,1.76,"✓ MACD bullish crossover | ✓ RSI optimal (65.5) | ✓ Strong trend (ADX 28.3) | ✓ Buying pressure (DMI) | ✓ Strong trend (ADX 28.3) | ✓ OBV falling",15m
2025-12-24T22:27:36.357Z,MATIC/USDT,SHORT,TRENDING,MOMENTUM,0.38,0.38,0.37,100.00,OPEN,,,,,70,0.00,"✓ Bullish EMA alignment | ✓ RSI optimal (41.7) | ✓ Strong trend (ADX 38.5) | ✓ MACD bearish crossover | ✓ RSI optimal (41.7) | ✓ Strong trend (ADX 38.5) | ✓ Selling pressure (DMI) | ✓ Liquidity zone detected",15m
2025-12-24T23:11:51.916Z,DOGE/USDT,LONG,NEUTRAL,MOMENTUM,0.13,0.13,0.13,100.00,SL_HIT,0.13,2025-12-24T23:12:29.129Z,0.00,0.00,60,0.00,"✓ MACD cruce alcista | ✓ RSI óptimo (58.9) | ✓ Volumen 1.4x | ✓ Presión compradora | ✓ RSI óptimo (58.9) | ✓ Volumen 1.4x | ✓ OBV decreciente",15m
2025-12-25T00:00:37.366Z,MATIC/USDT,SHORT,TRENDING,MOMENTUM,0.38,0.38,0.37,100.00,OPEN,,,,,85,0.00,"✓ Bullish EMA alignment | ✓ RSI optimal (41.7) | ✓ Strong trend (ADX 38.5) | ✓ MACD bearish crossover | ✓ RSI optimal (41.7) | ✓ Strong trend (ADX 38.5) | ✓ Selling pressure (DMI) | ✓ Market sentiment alignment: +15 pts | ✓ Liquidity zone detected",15m
2025-12-25T00:03:33.220Z,MATIC/USDT,SHORT,TRENDING,MOMENTUM,0.38,0.38,0.37,100.00,OPEN,,,,,80,0.00,"✓ Bullish EMA alignment | ✓ RSI optimal (41.7) | ✓ Strong trend (ADX 38.5) | ✓ MACD bearish crossover | ✓ RSI optimal (41.7) | ✓ Strong trend (ADX 38.5) | ✓ Selling pressure (DMI) | ✓ Market sentiment alignment: +10 pts | ✓ Liquidity zone detected",15m
2025-12-25T00:08:44.757Z,MATIC/USDT,SHORT,TRENDING,MOMENTUM,0.3794,0.3813,0.3737,100.00,OPEN,,,,,80,0.00,"✓ Bullish EMA alignment | ✓ RSI optimal (41.7) | ✓ Strong trend (ADX 38.5) | ✓ MACD bearish crossover | ✓ RSI optimal (41.7) | ✓ Strong trend (ADX 38.5) | ✓ Selling pressure (DMI) | ✓ Market sentiment alignment: +10 pts | ✓ Liquidity zone detected",15m
2025-12-25T00:09:46.121Z,MATIC/USDT,SHORT,TRENDING,MOMENTUM,0.3794,0.3813,0.3737,100.00,OPEN,,,,,80,0.00,"✓ Bullish EMA alignment | ✓ RSI optimal (41.7) | ✓ Strong trend (ADX 38.5) | ✓ MACD bearish crossover | ✓ RSI optimal (41.7) | ✓ Strong trend (ADX 38.5) | ✓ Selling pressure (DMI) | ✓ Market sentiment alignment: +10 pts | ✓ Liquidity zone detected",15m
